Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
10846,-286,-117.1875,-57.1875,0.6933594,-1.589355,-0.2275391,0.1079102,0.1430664,0.4716797
10847,-308.6875,-143.125,-48.3125,0.4790039,-1.410156,-0.06982422,0.1064453,0.1396484,0.4775391
10849,-329.6875,-165.6875,-37.375,0.3354492,-1.230469,0.05175781,0.1079102,0.1342773,0.4833984
10850,-352.4375,-188.9375,-26.5625,0.1601563,-1.05127,0.1582031,0.1088867,0.1259766,0.4985352
10852,-366.5,-212.4375,-8.5625,0.004882813,-0.8989258,0.2607422,0.1137695,0.1186523,0.5058594
10853,-378.8125,-226.9375,7.3125,-0.1660156,-0.7275391,0.4418945,0.1171875,0.1137695,0.5131836
10855,-386.3125,-227,26.125,-0.2749023,-0.5517578,0.6430664,0.1230469,0.09765625,0.5249023
10856,-390.375,-212.875,42.3125,-0.3564453,-0.4038086,0.8125,0.1279297,0.09179688,0.5322266
10858,-381.3125,-185.875,57.6875,-0.4033203,-0.2709961,0.9423828,0.1337891,0.08300781,0.5395508
10859,-358.875,-145.4375,69.25,-0.4072266,-0.08007813,1.048828,0.1445313,0.06591797,0.5517578
10861,-323.8125,-99.5,72.9375,-0.4033203,0.1342773,1.084473,0.1479492,0.05761719,0.5561523
10862,-277.5625,-51.1875,71.5,-0.4072266,0.3134766,1.092285,0.1503906,0.05029297,0.5605469
10864,-218.6875,-7.375,66,-0.3994141,0.512207,1.104004,0.1538086,0.03662109,0.5649414
10865,-151.5,32.5,58.625,-0.3603516,0.6801758,1.12793,0.1547852,0.03173828,0.5708008
10867,-72.125,68.75,53.3125,-0.3486328,0.7739258,1.147461,0.1538086,0.02685547,0.5708008
10868,12.75,105,52.75,-0.3022461,0.8325195,1.163086,0.1538086,0.02441406,0.5751953
10870,99.375,133.8125,58.3125,-0.2553711,0.8554688,1.139648,0.1489258,0.0234375,0.5766602
10873,190.4375,153.6875,74.4375,-0.2631836,0.809082,1.092285,0.1489258,0.02685547,0.5751953
10875,281.3125,164.0625,98.4375,-0.2592773,0.7114258,1.048828,0.1445313,0.03564453,0.5722656
10876,383.3125,179.3125,119.5625,-0.2436523,0.605957,1.064453,0.1381836,0.04150391,0.5693359
10878,497.0625,205.3125,138,-0.1967773,0.4580078,1.072754,0.1396484,0.04882813,0.5649414
10879,622,253.0625,157.3125,-0.1308594,0.1923828,1.135742,0.1337891,0.06835938,0.5488281
10881,757.5625,320.4375,170.5625,-0.08056641,-0.1660156,1.202637,0.1313477,0.08300781,0.5395508
10882,911.625,413.4375,173.4375,-0.02197266,-0.6728516,1.608398,0.1279297,0.09667969,0.5249023
10884,1040.75,542.3125,162.9375,-0.02197266,-1.457031,1.856934,0.1220703,0.1259766,0.487793
10885,1184.188,669.3125,137.5625,-0.08789063,-2.236816,2.215332,0.1171875,0.1381836,0.4643555
10887,1316.625,819.875,69.0625,0.04736328,-2.818359,3.019531,0.1123047,0.1518555,0.4379883
10888,1373.875,990.75,-81.875,0.5375977,-3.153809,4.083496,0.1040039,0.1674805,0.3710938
10890,1322.75,1192.688,-288.25,1.685059,-3.40332,4.883301,0.09960938,0.1699219,0.3388672
10891,1163.875,1359.938,-532.0625,3.154785,-3.469727,5.683594,0.09228516,0.1665039,0.3061523
10893,958.625,1466.813,-740,4.998535,-3.360352,5.210449,0.08300781,0.1542969,0.2485352
10894,604.0625,1300.063,-845.125,6.558105,-3.562988,3.547363,0.078125,0.1455078,0.2324219
10896,162.25,679.375,-664.3125,5.88916,-4.003906,-0.9169922,0.07128906,0.1381836,0.2163086
10897,-80.8125,-182.3125,-99.8125,4.679688,-4.807617,-1.523926,0.05810547,0.1357422,0.2104492
10899,-201.375,-758.625,375.5,4.749512,-3.395508,0.1777344,0.0546875,0.137207,0.2163086
10900,-350.5625,-1022.188,555.75,3.520508,-2.393066,1.849121,0.05371094,0.1396484,0.2207031
10902,-506.5,-1103.688,602.125,2.65332,-1.780762,2.59375,0.05810547,0.1494141,0.2412109
10903,-664.375,-1078.063,570.75,2.237305,-1.644043,3.01123,0.06298828,0.1552734,0.2573242
10905,-767.5,-967.625,460.9375,1.634277,-1.257813,3.050781,0.06884766,0.1616211,0.2753906
10906,-795.875,-835.6875,309.0625,1.187012,-0.8754883,2.641113,0.08398438,0.1674805,0.3164063
10908,-748.5,-750.875,150.5,0.8642578,-0.7548828,1.923828,0.08789063,0.1689453,0.3359375
10909,-705.6875,-666.4375,29.125,0.8603516,-0.6650391,1.722656,0.09228516,0.1674805,0.3535156
10911,-667,-557.875,-71.375,0.7045898,-0.6064453,1.494141,0.09716797,0.1650391,0.3876953
10912,-621.6875,-472.3125,-157.6875,0.4946289,-0.5869141,1.19873,0.09716797,0.1625977,0.4038086
10914,-571.3125,-417.5625,-221.1875,0.2963867,-0.5712891,0.8754883,0.09619141,0.1577148,0.418457
10915,-536.125,-387.8125,-255.4375,0.171875,-0.6025391,0.6743164,0.09228516,0.1479492,0.4482422
10917,-510.75,-377,-256,0.1020508,-0.6220703,0.5483398,0.08789063,0.1445313,0.4614258
10918,-494.125,-388.75,-224.8125,0.02783203,-0.6337891,0.418457,0.08642578,0.1396484,0.4746094
10920,-481.5,-412.5,-167.1875,-0.02197266,-0.6103516,0.4106445,0.08642578,0.1245117,0.4956055
10922,-474.625,-425.5,-96.375,-0.05712891,-0.4741211,0.5600586,0.09033203,0.1171875,0.5043945
10924,-466.3125,-413.375,-35.6875,-0.09960938,-0.2397461,0.7255859,0.09472656,0.1113281,0.5161133
10925,-440.875,-371.0625,2.4375,-0.1582031,0.06005859,0.8598633,0.1079102,0.09423828,0.5307617
10927,-395.5625,-309.875,10.3125,-0.2202148,0.3720703,0.8950195,0.1171875,0.08544922,0.5380859
10928,-333,-239.625,-1.9375,-0.3056641,0.6254883,0.8676758,0.1206055,0.07714844,0.5424805
10930,-263.3125,-169.6875,-20.8125,-0.3642578,0.7700195,0.84375,0.1313477,0.06347656,0.5532227
10931,-189.6875,-105.9375,-33.875,-0.4033203,0.84375,0.769043,0.1347656,0.05859375,0.5561523
10933,-114.1875,-51.6875,-30.1875,-0.4150391,0.859375,0.7255859,0.1362305,0.05517578,0.5561523
10934,-37.6875,-1.4375,-12.75,-0.4262695,0.890625,0.7021484,0.1347656,0.05029297,0.5620117
10936,40.1875,48.25,6.3125,-0.4150391,0.90625,0.7060547,0.1362305,0.04882813,0.5605469
10937,119.5,97.0625,29.625,-0.3955078,0.8476563,0.7060547,0.1347656,0.05029297,0.5605469
10939,202.8125,147.0625,52.375,-0.3759766,0.8398438,0.6704102,0.1313477,0.05761719,0.5576172
10940,297.3125,198.9375,76.375,-0.2866211,0.762207,0.6547852,0.1279297,0.06103516,0.5517578
10942,404.5,256.9375,99.5,-0.1738281,0.6176758,0.6352539,0.1254883,0.06982422,0.550293
10943,524.6875,326.4375,117.1875,-0.02197266,0.4072266,0.6625977,0.1171875,0.08447266,0.5366211
10945,653.375,406,123,0.09423828,0.05615234,0.737793,0.1137695,0.09277344,0.527832
10946,784.3125,491.6875,117.625,0.1757813,-0.4702148,0.9033203,0.1088867,0.1040039,0.5146484
10948,918,582.1875,106.5625,0.2148438,-1.047363,1.111816,0.09716797,0.128418,0.4804688
10949,1043.75,681.5625,72.625,0.2924805,-1.569824,1.541504,0.09228516,0.140625,0.4599609
10951,1154.5,805.125,-5.5,0.4790039,-1.905273,2.223145,0.08886719,0.1518555,0.4365234
10952,1211.25,951.8125,-150.5,1.09375,-2.057617,3.137695,0.07617188,0.1689453,0.3725586
10954,1207.313,1104.438,-340.125,2.10498,-2.268066,3.787598,0.06787109,0.1665039,0.340332
10955,1102.125,1200.875,-559.375,3.302734,-2.311035,4.087402,0.06298828,0.1650391,0.3061523
10957,903.1875,1233.25,-735.8125,4.461914,-2.369629,3.791992,0.04638672,0.1494141,0.2470703
10958,583.5,1060.438,-768.5625,5.153809,-2.810547,2.491211,0.04199219,0.1357422,0.222168
10960,252,605.75,-584.0625,4.714355,-3.547363,-0.03027344,0.03808594,0.128418,0.2075195
10961,61.3125,-49.5,-169.875,3.800781,-4.160156,-0.9130859,0.02880859,0.1196289,0.1938477
10963,-50.3125,-585.125,248.5625,3.82373,-3.282227,-0.05810547,0.02539063,0.1162109,0.1938477
10964,-217.5625,-848,479.125,3.251953,-2.552734,1.111816,0.02197266,0.1196289,0.1982422
10966,-355.6875,-928.1875,553.625,2.241211,-1.84668,1.849121,0.02050781,0.1308594,0.2192383
10967,-512.0625,-914.5,529.3125,1.67334,-1.414063,2.219238,0.02050781,0.1396484,0.2324219
10969,-640.125,-861.75,440.4375,1.408691,-1.28125,2.32959,0.02294922,0.1455078,0.2485352
10972,-664.8125,-780.6875,348.1875,0.9887695,-0.996582,2.116699,0.03369141,0.1591797,0.2885742
10974,-667.875,-713.3125,246.0625,0.8251953,-0.8520508,1.951172,0.03710938,0.1625977,0.309082
10975,-644.9375,-620,174.375,0.7084961,-0.7705078,2.026367,0.04199219,0.1665039,0.3286133
10977,-608,-505.8125,102.5625,0.6386719,-0.4506836,1.935547,0.05224609,0.1665039,0.3652344
10978,-560.5625,-391.8125,21.875,0.4750977,-0.1582031,1.703125,0.0546875,0.1640625,0.3833008
10980,-503.25,-311.75,-65.125,0.253418,0.02880859,1.348633,0.05712891,0.1640625,0.3964844
10981,-442.25,-257.4375,-133.125,0.140625,0.1108398,1.104004,0.05810547,0.1552734,0.4243164
10983,-381.8125,-226.75,-169.375,0.05126953,0.09521484,0.9228516,0.05371094,0.1518555,0.4365234
10984,-324.9375,-216.3125,-173.3125,-0.02978516,0.08740234,0.8085938,0.0546875,0.1479492,0.449707
10986,-274.5625,-220.8125,-150,-0.09179688,0.06005859,0.7177734,0.04980469,0.140625,0.4643555
10987,-231.6875,-231.4375,-101.5625,-0.1152344,0.06787109,0.6743164,0.04785156,0.137207,0.4731445
10989,-189.5625,-232.75,-33.5,-0.1582031,0.1108398,0.769043,0.04980469,0.1333008,0.4775391
10990,-141.1875,-215,46.0625,-0.2788086,0.2001953,0.8793945,0.0546875,0.1269531,0.4863281
10992,-82.9375,-186.375,127.75,-0.4033203,0.3994141,0.8950195,0.05615234,0.1259766,0.487793
10993,-10.875,-144.3125,183.375,-0.3994141,0.6450195,0.8911133,0.06396484,0.1245117,0.4907227
10995,79.625,-83.75,195.5,-0.418457,0.8671875,0.9897461,0.07714844,0.1245117,0.4892578
10996,198.1875,-3.375,171.75,-0.5273438,0.9101563,1.041016,0.08300781,0.1259766,0.4848633
10998,330.375,95.25,120.875,-0.5546875,1.03125,1.183105,0.08789063,0.128418,0.4819336
10999,479.8125,206.1875,69.6875,-0.2749023,2.618652,1.407715,0.09130859,0.137207,0.4628906
11001,592.5,315.0625,-1.3125,-0.434082,0.4775391,1.352539,0.08886719,0.1430664,0.4511719
11002,720.5,424.875,-69.8125,-0.1894531,-0.04492188,1.482422,0.08789063,0.1503906,0.4331055
11004,818.3125,539,-131.125,0.06689453,-0.6181641,1.758301,0.07617188,0.1601563,0.3964844
11005,891.5625,654.3125,-181.375,0.4091797,-1.230469,2.093262,0.06884766,0.1650391,0.3754883
11007,931.375,762,-230.5,0.9536133,-1.706543,2.515137,0.06298828,0.1665039,0.3476563
11008,937.1875,861.25,-308.1875,1.653809,-1.932617,2.850098,0.05126953,0.1616211,0.2973633
11010,899.4375,928.625,-417,2.388672,-2.373535,3.168945,0.04785156,0.152832,0.2724609
11011,808.25,925.625,-511.875,3.403809,-2.32666,2.948242,0.04394531,0.1430664,0.2470703
11013,583.6875,782.75,-523.6875,3.928711,-2.689453,2.262695,0.04199219,0.1235352,0.2075195
11014,293.6875,506.1875,-425.6875,4.236328,-2.935059,0.6035156,0.04199219,0.1137695,0.1923828
11016,10.25,-32,-117,3.905762,-3.921875,-0.3378906,0.04052734,0.1074219,0.1865234
