Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-26.5625,21.4375,82.625,0.347168,-0.2827148,0.3432617,-0.02148438,-0.2539063,0.1777344
2,-9.25,12.1875,81.625,0.2460938,-0.5751953,0.3945313,-0.02246094,-0.2553711,0.1791992
3,13.4375,6.4375,82.875,0.137207,-0.8911133,0.5009766,-0.02392578,-0.2514648,0.1762695
5,61.125,-31.75,77.6875,-0.1230469,-1.300781,0.2373047,-0.02587891,-0.2529297,0.1777344
6,90.5,-50.75,71.8125,-0.2944336,-1.702637,0.737793,-0.02832031,-0.2529297,0.1806641
8,121.0625,-63.4375,45.5625,-0.3759766,-1.706543,0.6274414,-0.03417969,-0.2563477,0.1821289
9,137.1875,-95.125,17.375,-0.3876953,-2.189941,0.3120117,-0.03320313,-0.2587891,0.1850586
11,114.875,-85.3125,-8.125,-0.03369141,-1.550293,0.5366211,-0.03662109,-0.2626953,0.1879883
12,81.8125,-66.375,-35.875,0.4716797,-0.5322266,-0.01855469,-0.0390625,-0.2626953,0.1953125
14,4.0625,2.6875,-150,1.342773,1.105469,-0.2709961,-0.03662109,-0.2661133,0.1982422
15,-36.125,12.375,-266.1875,1.976563,2.240234,-0.9130859,-0.03564453,-0.2675781,0.1967773
17,-87.1875,73.5,-310.5625,2.13623,2.922852,-0.6293945,-0.02490234,-0.2709961,0.1938477
18,-84.125,145.25,-282.875,2.303223,3.016602,-0.487793,-0.01660156,-0.2700195,0.190918
20,-64.5625,175.375,-161.4375,2.291504,3.550781,-0.5664063,-0.01171875,-0.2700195,0.190918
21,-55.5,151.6875,-42.0625,2.077637,3.968262,-0.2314453,0,-0.2724609,0.1835938
23,-58.375,91,42.0625,1.71582,3.995605,0.1899414,0.002929688,-0.2724609,0.1850586
24,-51.25,24.125,93,1.276367,3.42627,0.4736328,0.00390625,-0.2709961,0.1806641
26,-58.0625,-18.375,129.375,1.016113,2.700684,0.4145508,0.001953125,-0.2675781,0.1777344
27,-91.8125,-35.6875,140.625,0.949707,1.85791,0.3432617,0,-0.2651367,0.1762695
29,-128.5625,-18.75,134.3125,0.9072266,0.9335938,0.434082,-0.00390625,-0.2626953,0.1762695
32,-138.1875,7.75,127.0625,0.3896484,-0.2788086,0.4458008,-0.009765625,-0.2529297,0.1733398
34,-114.6875,13.5625,154.3125,-0.2397461,-1.90918,0.4658203,-0.01074219,-0.2514648,0.1689453
35,-65.25,11,194.8125,-0.6557617,-2.935059,0.5249023,-0.01171875,-0.2490234,0.1660156
37,17.875,-28.0625,208.875,-0.59375,-4.171387,0.2016602,-0.01904297,-0.2480469,0.1660156
38,44.75,-5.6875,169.875,-0.690918,-3.336914,0.7255859,-0.02246094,-0.2456055,0.1660156
40,79.0625,-10.875,141.3125,-0.8544922,-3.063965,0.4853516,-0.02490234,-0.246582,0.1674805
41,83.875,-32.25,87.4375,-0.9477539,-2.303223,0.3041992,-0.02978516,-0.2441406,0.171875
43,61.5,-39.875,-3,-0.5351563,-1.289063,0.1030273,-0.03076172,-0.246582,0.1733398
44,46.75,-57.5625,-95.625,-0.3212891,-0.840332,0.02441406,-0.03320313,-0.2480469,0.1733398
46,58.8125,-74,-136.0625,-0.2553711,-0.8056641,0.004394531,-0.03076172,-0.2529297,0.1762695
47,58.8125,-58.5,-151.1875,0.3393555,-0.1191406,-0.5151367,-0.02832031,-0.2539063,0.1791992
49,57.75,-23.4375,-202.375,1.599121,1.452637,-1.070801,-0.02734375,-0.2539063,0.1791992
50,59.8125,36.75,-186,0.7553711,1.03125,-0.6254883,-0.02001953,-0.2602539,0.1835938
52,55.25,75,-200.9375,2.688477,3.079102,-0.503418,-0.015625,-0.2612305,0.1821289
53,76.75,85.0625,-79.375,2.688477,3.785156,-0.4204102,-0.01171875,-0.2636719,0.1835938
55,42.75,75.125,0.375,2.556152,4.241211,-0.1054688,-0.005859375,-0.2675781,0.1850586
56,-11.0625,50.25,18,2.354004,4.323242,0.2451172,-0.005859375,-0.2685547,0.1835938
58,-47.5625,20.625,20.0625,2,3.746094,0.4575195,-0.00390625,-0.2685547,0.1850586
59,-79.4375,-2.9375,32.3125,1.665527,2.887695,0.4067383,-0.005859375,-0.2661133,0.1806641
61,-109.75,-12.125,36.5625,1.369629,2.084473,0.3632813,-0.004882813,-0.2651367,0.1791992
62,-131.5,0,35.4375,1.264648,1.394043,0.4145508,-0.008300781,-0.2612305,0.1777344
64,-139.75,27.4375,49.125,1.117188,0.5864258,0.4106445,-0.007324219,-0.2578125,0.1733398
65,-135.4375,42.125,80.4375,0.6230469,-0.3413086,0.3710938,-0.009765625,-0.2553711,0.1704102
67,-106.25,32.25,138.5,-0.1933594,-1.597168,0.418457,-0.01074219,-0.2504883,0.1674805
68,-50.0625,17.4375,200.25,-1.122559,-2.903809,0.6430664,-0.01318359,-0.246582,0.1660156
70,72.0625,-24.875,223.3125,-1.025391,-4.280762,0.375,-0.015625,-0.246582,0.1630859
71,96.625,-19.6875,180.6875,-1.161621,-3.270508,0.7651367,-0.01904297,-0.246582,0.1660156
73,115.8125,-13.4375,119.1875,-0.8466797,-2.521484,0.6230469,-0.02246094,-0.246582,0.1674805
74,111.4375,-36.125,16.75,-0.7880859,-1.522949,0.359375,-0.02734375,-0.2490234,0.1704102
76,84.0625,-49.6875,-85.875,-0.5351563,-0.7119141,0.300293,-0.02734375,-0.2480469,0.171875
77,62.625,-44.4375,-143.75,-0.04541016,-0.07617188,0.1860352,-0.02587891,-0.2529297,0.1748047
79,59.4375,-22.75,-160.3125,0.6621094,0.9101563,-0.1445313,-0.02392578,-0.2553711,0.1777344
81,59.625,3.3125,-191.5,1.653809,2.150879,-0.5268555,-0.02246094,-0.2587891,0.1791992
83,-7.5625,26.1875,-145.875,2.956543,2.263672,-0.9013672,-0.01660156,-0.2626953,0.1791992
84,43.5625,44.5,-95.625,2.560059,3.17627,-0.2314453,-0.01171875,-0.2612305,0.1806641
86,36,29.8125,9.625,2.365234,3.441895,0.2133789,-0.008300781,-0.2636719,0.1821289
87,-1.6875,9.0625,61.3125,2.046387,3.453613,0.4970703,-0.009765625,-0.2636719,0.1821289
89,-40.8125,-14.375,56.6875,1.665527,3.137695,0.6074219,-0.008300781,-0.2636719,0.1821289
90,-70,-31.375,40.9375,1.307617,2.447266,0.5839844,-0.009765625,-0.2612305,0.1806641
92,-96.4375,-39.75,25.625,1.054688,1.643555,0.5366211,-0.01318359,-0.2602539,0.1806641
93,-117.5,-29.5625,14.625,0.9262695,0.921875,0.4736328,-0.01416016,-0.2563477,0.1762695
95,-124.75,-20.5,5.9375,0.7670898,0.2822266,0.3671875,-0.015625,-0.2553711,0.1748047
96,-110.0625,-18.3125,1,0.4868164,-0.2905273,0.3354492,-0.01660156,-0.2504883,0.171875
98,-82.5,-19.125,-0.25,0.315918,-0.6298828,0.359375,-0.01660156,-0.2490234,0.1704102
99,-51.375,-13.6875,-3.1875,0.269043,-0.8056641,0.418457,-0.015625,-0.2480469,0.1704102
101,-28.25,-7.3125,-5.6875,0.3701172,-0.7158203,0.4379883,-0.01904297,-0.2456055,0.1674805
102,-19.5,-2.875,-14.4375,0.4907227,-0.4350586,0.402832,-0.01757813,-0.2456055,0.1689453
104,-21.375,-2.5625,-34.5625,0.5727539,-0.1191406,0.331543,-0.01757813,-0.2456055,0.1674805
105,-25.25,-5.375,-63.125,0.6191406,0.09912109,0.300293,-0.01904297,-0.2441406,0.1674805
107,-30.5,-10,-88.4375,0.6386719,0.1689453,0.2963867,-0.015625,-0.2456055,0.1660156
108,-32.6875,-11.75,-99.9375,0.7045898,0.2158203,0.2963867,-0.01416016,-0.2441406,0.1660156
110,-30.75,-9.5625,-101.5,0.8095703,0.2978516,0.2451172,-0.01074219,-0.246582,0.1645508
111,-28.625,-2.8125,-102.4375,0.918457,0.4189453,0.2016602,-0.01074219,-0.2456055,0.1660156
113,-27.25,7.125,-109.0625,1.000488,0.543457,0.1777344,-0.009765625,-0.246582,0.1630859
114,-25.625,15.0625,-118.8125,1.023926,0.621582,0.1425781,-0.004882813,-0.2456055,0.1645508
116,-27.1875,19.125,-132.5625,0.9887695,0.652832,0.1464844,-0.00390625,-0.246582,0.1630859
117,-31,22,-149.0625,0.918457,0.6723633,0.1308594,0.0004882813,-0.2480469,0.1630859
119,-34.9375,23.9375,-160.4375,0.8681641,0.652832,0.1777344,0.00390625,-0.2480469,0.1630859
120,-36.625,23.8125,-162.9375,0.8056641,0.6411133,0.2094727,0.006347656,-0.2490234,0.1601563
122,-37.75,23.375,-157.8125,0.7709961,0.6411133,0.2568359,0.009765625,-0.2504883,0.1586914
123,-40.875,23.875,-150.4375,0.7514648,0.668457,0.2880859,0.01464844,-0.2504883,0.1572266
125,-43.375,25.0625,-143.4375,0.7436523,0.715332,0.3120117,0.01806641,-0.2514648,0.1572266
126,-44.9375,24.6875,-136.625,0.7397461,0.7543945,0.3276367,0.02197266,-0.2490234,0.1586914
128,-43.9375,24.5,-130.5625,0.7358398,0.7817383,0.3476563,0.02636719,-0.2480469,0.1542969
131,-41.6875,22.0625,-125.5,0.7084961,0.7856445,0.3554688,0.02636719,-0.2480469,0.1542969
133,-38,20.625,-122.5625,0.6967773,0.7856445,0.3710938,0.02978516,-0.2480469,0.152832
134,-36.75,18.875,-121.8125,0.6503906,0.7817383,0.3789063,0.03466797,-0.2490234,0.1513672
136,-62.25,-17.625,-143,0.4208984,1.054688,0.06738281,0.03808594,-0.2490234,0.1513672
137,-65.3125,-55.75,-172.25,0.5493164,0.7739258,0.4536133,0.03808594,-0.2480469,0.1464844
139,-56.125,-41.0625,-154.9375,0.5024414,0.652832,0.4892578,0.04199219,-0.2456055,0.1464844
140,-40.375,-18.125,-114.6875,0.4677734,0.637207,0.4619141,0.04052734,-0.2441406,0.1499023
142,-28,-7.0625,-85.375,0.5219727,0.6958008,0.3867188,0.04394531,-0.246582,0.1479492
143,-27.5,-8.875,-78.5625,0.5996094,0.7231445,0.3554688,0.04541016,-0.2441406,0.1479492
145,-26.875,-10.4375,-87.0625,0.6464844,0.7348633,0.3515625,0.04638672,-0.2441406,0.1464844
146,-26.5625,-11.5,-98.25,0.6464844,0.7348633,0.3276367,0.04882813,-0.2456055,0.1450195
148,-25.75,-7.75,-100.3125,0.6152344,0.6958008,0.3554688,0.05126953,-0.2441406,0.1450195
149,-22.5,-1.0625,-89.75,0.6035156,0.684082,0.4067383,0.05126953,-0.2441406,0.1435547
151,-18.4375,6.3125,-76.0625,0.6074219,0.7231445,0.390625,0.05371094,-0.2416992,0.1435547
152,-16.375,10.8125,-69.25,0.6113281,0.7543945,0.3632813,0.05712891,-0.2407227,0.140625
154,-17.125,13.0625,-69.5,0.6113281,0.7661133,0.3515625,0.05810547,-0.2416992,0.1420898
155,-19.1875,18.125,-68.5,0.5917969,0.746582,0.3945313,0.05810547,-0.2416992,0.1420898
157,-19.125,25.375,-62.9375,0.5336914,0.7583008,0.4145508,0.06054688,-0.2407227,0.1420898
158,-18.625,29.5625,-51.75,0.4985352,0.777832,0.4458008,0.06298828,-0.2392578,0.1420898
160,-16.5625,30.6875,-41.1875,0.4599609,0.8129883,0.4223633,0.06542969,-0.2382813,0.140625
161,-16.75,23.6875,-38.1875,0.4638672,0.8325195,0.418457,0.06787109,-0.2382813,0.140625
163,-19.75,16.375,-40.125,0.4750977,0.8208008,0.4067383,0.06640625,-0.2392578,0.140625
164,-25.5,9.625,-41.8125,0.4868164,0.7973633,0.4106445,0.06884766,-0.2392578,0.140625
166,-29.5625,6,-40.0625,0.5024414,0.7504883,0.4301758,0.06884766,-0.2382813,0.1391602
167,-32.25,4.25,-35.5625,0.5063477,0.7114258,0.4223633,0.06884766,-0.2368164,0.1376953
169,-33.75,4.6875,-32.125,0.5180664,0.6879883,0.418457,0.07128906,-0.234375,0.140625
170,-33.9375,5.0625,-27.0625,0.5297852,0.652832,0.4301758,0.07226563,-0.2358398,0.1376953
172,-32.5625,8.5,-20.75,0.5454102,0.6450195,0.4458008,0.07128906,-0.2358398,0.1362305
173,-32.875,14.5625,-17.875,0.5415039,0.6489258,0.4379883,0.07128906,-0.2333984,0.1362305
175,-33.5625,18.5625,-17.6875,0.4985352,0.668457,0.4418945,0.07373047,-0.2319336,0.1347656
176,-38.625,2.0625,-36.3125,0.3779297,0.7504883,0.4575195,0.07617188,-0.230957,0.1347656
178,-38.3125,-6.5,-66.875,0.4052734,0.7504883,0.4262695,0.07617188,-0.2319336,0.1347656
180,-35.875,-8.125,-71.9375,0.4716797,0.6762695,0.4458008,0.07470703,-0.2270508,0.1333008
182,-31.6875,-3.625,-46.25,0.5180664,0.6567383,0.4775391,0.07617188,-0.2270508,0.1318359
183,-30.0625,-0.75,-15.0625,0.5258789,0.7114258,0.4736328,0.07714844,-0.2260742,0.1318359
185,-31.5625,-2.25,1.875,0.4985352,0.777832,0.449707,0.07714844,-0.2260742,0.1303711
186,-37.0625,-2.375,7,0.4750977,0.7895508,0.4379883,0.07714844,-0.2260742,0.1303711
188,-41.75,-3.75,10.5625,0.4052734,0.809082,0.4619141,0.07714844,-0.2236328,0.1303711
189,-42.75,-6.875,8.625,0.3857422,0.8168945,0.4931641,0.07714844,-0.222168,0.1289063
191,-43.375,-15.5625,-5.8125,0.3662109,0.8208008,0.449707,0.078125,-0.222168,0.1303711
192,-44.625,-31.9375,-33.5,0.3896484,0.8051758,0.449707,0.07714844,-0.2211914,0.1289063
194,-40.0625,-36.9375,-66.0625,0.4599609,0.746582,0.4458008,0.07617188,-0.2172852,0.1274414
195,-38.75,-22.8125,-67.1875,0.5532227,0.6333008,0.4619141,0.07714844,-0.2172852,0.1274414
197,-31.6875,-0.125,-21.375,0.5727539,0.6020508,0.4931641,0.07714844,-0.2172852,0.1259766
198,-24.875,10.75,24,0.4750977,0.6723633,0.5170898,0.07617188,-0.2148438,0.1245117
200,-22.1875,8.375,30.8125,0.3276367,0.7739258,0.4814453,0.07714844,-0.2148438,0.1245117
201,-18.25,9.625,6.6875,0.3081055,0.7973633,0.4775391,0.07617188,-0.2148438,0.1259766
203,-12.1875,7.75,-37.5625,0.3662109,0.7543945,0.4458008,0.07714844,-0.2133789,0.1245117
204,-12.875,5.8125,-66.8125,0.3974609,0.6645508,0.4658203,0.07714844,-0.2124023,0.1245117
206,-14.4375,6.3125,-72,0.4169922,0.6333008,0.4931641,0.07714844,-0.2133789,0.1259766
207,-14.25,6.875,-66,0.4169922,0.652832,0.4853516,0.08056641,-0.2124023,0.121582
209,-13.375,11.1875,-64.8125,0.4404297,0.7036133,0.4814453,0.07958984,-0.2109375,0.1230469
210,-16.25,18.8125,-67.5,0.4326172,0.7075195,0.4658203,0.08203125,-0.2075195,0.1230469
212,-14.375,27.3125,-53.3125,0.4169922,0.6762695,0.5087891,0.08398438,-0.2099609,0.1259766
213,-8,32.6875,-28.6875,0.4013672,0.652832,0.5288086,0.08398438,-0.2099609,0.121582
215,-3.375,32,-1.5625,0.3779297,0.6762695,0.5327148,0.08642578,-0.2099609,0.1230469
216,0.0625,26.8125,17,0.3549805,0.699707,0.5366211,0.08886719,-0.2099609,0.1245117
218,3.5625,20.4375,27.1875,0.3432617,0.6801758,0.5249023,0.08544922,-0.2099609,0.1230469
219,5.5625,14.8125,26.1875,0.331543,0.699707,0.4892578,0.08886719,-0.2099609,0.1230469
221,7.1875,10.5,14.9375,0.331543,0.730957,0.5249023,0.09033203,-0.2099609,0.1245117
222,2.4375,10,-0.375,0.3237305,0.7895508,0.5366211,0.09033203,-0.2099609,0.121582
224,-7.75,5.6875,-8.375,0.300293,0.809082,0.5327148,0.09130859,-0.2109375,0.1245117
225,-7.6875,-4.1875,-4.4375,0.2924805,0.8051758,0.5288086,0.09033203,-0.2099609,0.1259766
227,-0.875,-10.6875,9.3125,0.2963867,0.7739258,0.5600586,0.08789063,-0.2084961,0.1230469
230,6.9375,-6.375,28.125,0.3198242,0.7387695,0.5522461,0.08886719,-0.2084961,0.1230469
232,12.125,-5.0625,37.1875,0.3354492,0.746582,0.5126953,0.08642578,-0.2099609,0.1230469
233,15.375,-8.625,33.125,0.347168,0.7543945,0.5048828,0.08789063,-0.2099609,0.1259766
235,16.8125,-14.3125,26.125,0.3432617,0.746582,0.4970703,0.08642578,-0.2109375,0.1245117
236,22.125,-18.1875,25.6875,0.3510742,0.7231445,0.5126953,0.08642578,-0.2124023,0.1259766
238,28.9375,-19.25,30.625,0.3779297,0.7348633,0.5048828,0.08544922,-0.2133789,0.1259766
239,34.875,-21.5,34.25,0.4091797,0.7387695,0.4853516,0.08544922,-0.2148438,0.1259766
241,39.875,-29.1875,38.6875,0.4208984,0.7583008,0.449707,0.08300781,-0.2158203,0.1259766
242,42.1875,-37.1875,40.875,0.4091797,0.7739258,0.449707,0.08203125,-0.2148438,0.1259766
244,43.6875,-45.0625,40.8125,0.4248047,0.7856445,0.4418945,0.078125,-0.2158203,0.1274414
245,44.3125,-55.0625,39.875,0.4443359,0.8051758,0.434082,0.07617188,-0.2197266,0.1274414
247,44.125,-65.3125,37.25,0.4638672,0.7973633,0.4106445,0.07617188,-0.2211914,0.1289063
248,43.625,-75.6875,32.25,0.5063477,0.809082,0.3945313,0.07226563,-0.2211914,0.1274414
250,37.125,-77.9375,24.0625,0.5493164,0.8286133,0.4067383,0.06884766,-0.2236328,0.1303711
251,29.375,-76.5625,23.4375,0.5493164,0.8476563,0.4619141,0.06787109,-0.2236328,0.1318359
253,27.75,-67.5,25.5625,0.5454102,0.8325195,0.4379883,0.06396484,-0.2236328,0.1318359
254,24.9375,-57.9375,19.5625,0.5532227,0.84375,0.3945313,0.06054688,-0.2246094,0.1303711
256,12.625,-53.875,4.25,0.5180664,0.859375,0.3789063,0.06054688,-0.2260742,0.1318359
257,3.0625,-47.0625,-9.75,0.5102539,0.859375,0.434082,0.05957031,-0.2246094,0.1318359
259,-2.75,-35.625,-21.4375,0.4790039,0.8208008,0.434082,0.05712891,-0.2236328,0.1333008
260,-9.5,-28.125,-23.1875,0.4521484,0.793457,0.4536133,0.05712891,-0.2236328,0.1318359
262,-11.75,-23.375,-22.375,0.4560547,0.762207,0.449707,0.05712891,-0.2260742,0.1303711
263,-23.1875,-1.25,-29.25,0.5571289,0.8325195,0.5288086,0.0546875,-0.2260742,0.1333008
265,-39.125,37.25,-58.1875,0.4946289,0.7817383,0.4301758,0.05712891,-0.2236328,0.1303711
266,-45.125,40.1875,-69.875,0.4404297,0.793457,0.4379883,0.05957031,-0.222168,0.1303711
268,-45.3125,28.9375,-61.0625,0.4052734,0.8129883,0.4418945,0.06054688,-0.2211914,0.1274414
269,-44.25,20.25,-50.5,0.4208984,0.8476563,0.4736328,0.06396484,-0.2211914,0.1289063
271,-55.3125,23.25,-51,0.4443359,0.8710938,0.449707,0.06298828,-0.2211914,0.1274414
272,-86.125,46.3125,-57.375,0.5532227,0.8168945,0.6274414,0.06640625,-0.2158203,0.1274414
274,-109.6875,69.5625,-72.6875,0.4482422,0.9101563,0.4575195,0.06787109,-0.2148438,0.1274414
275,-118.125,68.75,-92.375,0.3896484,0.921875,0.4658203,0.07128906,-0.2124023,0.1245117
277,-121.125,65.625,-107.6875,0.3740234,0.8945313,0.4736328,0.07617188,-0.2075195,0.121582
279,-118.25,48,-117.625,0.347168,0.8398438,0.4697266,0.078125,-0.2036133,0.121582
281,-119,29.1875,-124.375,0.3779297,0.7895508,0.4892578,0.08056641,-0.2026367,0.1201172
282,-128.8125,23.875,-134.75,0.4326172,0.7817383,0.4931641,0.08544922,-0.1962891,0.1186523
284,-146.0625,27.0625,-146.1875,0.4443359,0.7270508,0.4931641,0.08642578,-0.1928711,0.1157227
285,-161.3125,27.625,-150.75,0.3857422,0.684082,0.5170898,0.09033203,-0.1889648,0.1171875
287,-165.1875,16.3125,-144.8125,0.315918,0.652832,0.5327148,0.09228516,-0.1806641,0.1098633
288,-156.125,2.4375,-123.75,0.2226563,0.5864258,0.6074219,0.09375,-0.1757813,0.1098633
290,-145.125,0.625,-99.9375,0.203125,0.5786133,0.6826172,0.09619141,-0.1733398,0.1083984
291,-146.0625,3.5,-89.375,0.2226563,0.6801758,0.7416992,0.09619141,-0.1635742,0.1054688
293,-156.4375,8.25,-90.625,0.1835938,0.730957,0.7177734,0.09716797,-0.1621094,0.1069336
294,-160.625,2.25,-92.1875,0.137207,0.7192383,0.7099609,0.09716797,-0.1572266,0.1069336
296,-161.375,4.25,-103.9375,0.1293945,0.7856445,0.7768555,0.09814453,-0.1489258,0.1040039
297,-160.5625,1.625,-119.0625,0.1137695,0.7543945,0.7333984,0.09814453,-0.144043,0.1069336
299,-160.5625,-3.125,-135.0625,0.1254883,0.730957,0.7138672,0.1005859,-0.1401367,0.1025391
300,-160.1875,-8.125,-147,0.1254883,0.6801758,0.7573242,0.1005859,-0.1328125,0.1040039
302,-164.6875,-7.875,-155.25,0.1757813,0.6879883,0.7885742,0.1005859,-0.1254883,0.1040039
303,-176.5625,-2.125,-163.375,0.2148438,0.6801758,0.7768555,0.1020508,-0.1220703,0.1025391
305,-189.0625,6.3125,-172.5,0.25,0.6762695,0.7885742,0.1005859,-0.1123047,0.1025391
306,-196.25,18.5,-179.875,0.2612305,0.6723633,0.784668,0.1005859,-0.105957,0.1010742
308,-203.5,34.1875,-192.8125,0.2807617,0.6645508,0.7929688,0.1005859,-0.1010742,0.1025391
309,-205.1875,52.375,-201.25,0.2573242,0.5708008,0.7929688,0.1030273,-0.08886719,0.1010742
311,-194.9375,67.125,-181.75,0.234375,0.5317383,0.796875,0.1054688,-0.08398438,0.1040039
312,-170.625,69.0625,-185.0625,0.2226563,0.4111328,0.9072266,0.1064453,-0.07763672,0.1054688
314,-107.4375,89,-206.4375,0.4052734,0.4775391,1.206543,0.1064453,-0.06933594,0.1054688
315,-67.5625,107.25,-223.25,0.3623047,0.4228516,0.9423828,0.1088867,-0.06445313,0.1069336
317,-80.375,101.25,-211.375,0.203125,0.3759766,0.6904297,0.1137695,-0.06298828,0.1069336
318,-110.5,88.625,-189,0.09814453,0.3251953,0.7177734,0.1137695,-0.05566406,0.1083984
320,-128.3125,81.5,-170.1875,-0.01025391,0.3173828,0.796875,0.1147461,-0.05322266,0.1098633
321,-143.6875,65.4375,-161,-0.1230469,0.3212891,0.769043,0.1162109,-0.05078125,0.1113281
323,-147.25,54.5,-140.0625,-0.2280273,0.3056641,0.8164063,0.1181641,-0.04003906,0.112793
324,-134,51.1875,-166.75,-0.5429688,0.5317383,0.9228516,0.1171875,-0.03759766,0.1113281
326,-142.3125,34,-159.375,-0.5429688,0.2861328,0.9033203,0.1162109,-0.03125,0.1171875
329,-141.875,7.125,-125.4375,-0.512207,0.1420898,0.9462891,0.1162109,-0.02539063,0.1186523
331,-131.875,-6.125,-76.6875,-0.4926758,0.07958984,1.123535,0.1162109,-0.01806641,0.1201172
332,-97.5,-1.25,-43.5,-0.3759766,0.1845703,1.293457,0.1137695,-0.01660156,0.121582
334,-50.25,10,-31.0625,-0.3642578,0.3251953,1.352539,0.1137695,-0.01171875,0.1245117
335,-9.3125,22.875,-27.25,-0.4262695,0.4306641,1.261719,0.1162109,-0.009277344,0.1230469
337,21.5625,25.6875,-19.875,-0.4418945,0.4931641,1.068359,0.1147461,-0.01171875,0.1230469
338,29.9375,20.9375,-6.8125,-0.3994141,0.5708008,0.9345703,0.1147461,-0.01318359,0.121582
340,19.5,16.5,-3.125,-0.3369141,0.6606445,0.855957,0.1162109,-0.01074219,0.1230469
341,1.5,4.875,-6.625,-0.2905273,0.6879883,0.7929688,0.1162109,-0.01318359,0.1245117
343,-24.5625,-9.6875,-13.5625,-0.2553711,0.605957,0.7768555,0.1162109,-0.01171875,0.1230469
344,-40.9375,-19.4375,-33.4375,-0.3134766,0.5004883,0.8676758,0.1162109,-0.01171875,0.121582
346,-41.3125,-27,-55,-0.4033203,0.3798828,0.8911133,0.1147461,-0.009277344,0.1245117
347,-39.625,-37.4375,-68.125,-0.4418945,0.3056641,0.9111328,0.1123047,-0.006835938,0.1245117
349,-21.125,-67.4375,-93.1875,-0.5820313,0.3720703,0.7768555,0.1103516,-0.005859375,0.1245117
350,-25.125,-109.3125,-123.9375,-0.7182617,0.4189453,0.6469727,0.1079102,-0.005859375,0.1245117
352,-48.9375,-158.1875,-146.6875,-0.8115234,0.3955078,0.5249023,0.1005859,-0.001953125,0.1245117
353,-96,-174.625,-93.8125,0.5297852,-0.9262695,1.758301,0.09375,-0.0009765625,0.1245117
355,-10.25,2.4375,-57.0625,0.6699219,0.7739258,1.080566,0.09228516,0.002441406,0.1259766
356,-70.9375,-72.75,-106.25,-0.05322266,0.2861328,0.01220703,0.08789063,0.002441406,0.1259766
358,-135.375,-57.375,-66.6875,-0.05712891,-0.05273438,1.096191,0.08398438,0.007324219,0.1259766
359,-94.4375,-29.4375,-89.25,0.121582,0.2861328,0.9702148,0.08300781,0.008300781,0.1274414
361,-92.375,-10.6875,-100.5,0.09814453,0.2705078,0.9033203,0.078125,0.01464844,0.1303711
362,-90.625,-3.0625,-97.5,-0.002441406,0.1108398,0.887207,0.07617188,0.01708984,0.1333008
364,-85.625,-4.1875,-79.3125,-0.1035156,0.04443359,0.9072266,0.07714844,0.01953125,0.1333008
365,-71.8125,-8.625,-62.3125,-0.1269531,0.07568359,0.8950195,0.07373047,0.02197266,0.1333008
367,-66.5625,-14.875,-57.3125,-0.1230469,0.1655273,0.9111328,0.07373047,0.02441406,0.1362305
368,-73,-20.625,-65.6875,-0.1503906,0.2509766,0.9306641,0.07226563,0.02685547,0.1362305
370,-79.625,-25.9375,-80.75,-0.1621094,0.2783203,0.9780273,0.06982422,0.03076172,0.1391602
371,-79.75,-32.875,-89.875,-0.1699219,0.2353516,0.9936523,0.06787109,0.03076172,0.140625
373,-82.5625,-37.625,-94,-0.1386719,0.2001953,0.9624023,0.06542969,0.03173828,0.140625
374,-96.625,-44.3125,-94.375,-0.07666016,0.1616211,0.9345703,0.06201172,0.03662109,0.140625
376,-141.9375,-56.25,-80.75,0.0009765625,0.09521484,0.9111328,0.05957031,0.0390625,0.1450195
378,-108.875,-49.6875,-85.5625,-0.04541016,0.08740234,1.009277,0.05615234,0.04052734,0.1464844
380,-98.375,-40.5,-78.8125,-0.07275391,0.06787109,0.9819336,0.05126953,0.04394531,0.1499023
381,-98.625,-33.4375,-72.75,-0.09570313,0.02880859,1.037109,0.05126953,0.04638672,0.1513672
383,-91.8125,-27.375,-70.9375,-0.09960938,-0.01367188,1.056641,0.04882813,0.04882813,0.1542969
384,-86.5625,-20.8125,-68.5625,-0.09179688,-0.1152344,0.9936523,0.04541016,0.05126953,0.1557617
386,-75.6875,-17.3125,-62.9375,-0.03759766,-0.2006836,0.9423828,0.04394531,0.05273438,0.1586914
387,-61.75,-17.5,-57.625,-0.006347656,-0.1660156,0.9306641,0.04199219,0.05517578,0.1586914
389,-59.4375,-13.0625,-58.75,-0.03759766,-0.04101563,1.009277,0.03955078,0.05761719,0.1630859
390,-63.25,-3.8125,-71.375,-0.04541016,0.06005859,1.056641,0.03808594,0.05761719,0.1630859
392,-67.5,0.75,-87.6875,-0.04150391,0.009277344,1.001465,0.03710938,0.06005859,0.1645508
393,-61.9375,0,-88.125,-0.09570313,-0.1308594,1.025391,0.03466797,0.06103516,0.1660156
395,-59.625,-11.875,-76.25,-0.1308594,-0.1811523,0.9936523,0.03125,0.0625,0.1674805
396,-56,-24.25,-66.5,-0.08789063,-0.1542969,0.9741211,0.03125,0.06494141,0.1689453
398,-57.9375,-31.75,-61.1875,-0.02197266,-0.1772461,0.9501953,0.02539063,0.06494141,0.171875
